name,date_of_execution,duration_of_execution,seed,number_of_modules,number_of_max_qubits_per_module,number_of_max_gates_per_module,reduced_distance,maximum_allowed_weight,number_of_qubits_x_[row],number_of_qubits_y_[column],heuristic,qubit_modules,qubit_mapping,depth,total_qubits,gate_count,swap_count,t_count,qiskit_optimization_level,qiskit_depth,qiskit_total_qubits,qiskit_gate_count,qiskit_swap_count,qiskit_t_count
result62,2024-11-06 17:01:38,14.784874439239502,4164,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [6, 7, 8], 3: [1, 3, 6, 9]}","[{2: [4949, 4948, 4848], 1: [4849, 4850, 4950], 0: [5050, 5049, 5048]}, {3: [5049, 4949, 4849, 4749]}]",8,10,18,2,4,1,6,10,18,0,4
result63,2024-11-06 17:01:55,14.5556902885437,5057,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [4, 6, 7], 3: [1, 6, 8]}","[{1: [4848, 4948, 5048], 0: [5049, 4949, 4849]}, {2: [4948, 4848, 4748]}, {3: [4849, 4848, 4748]}]",11,7,20,1,5,1,5,9,20,0,5
result64,2024-11-06 17:02:12,25.06551551818848,3904,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [5, 7, 8], 3: [3, 4, 9, 10]}","[{1: [5150, 5050, 4950], 0: [5048, 4948, 5049, 5149]}, {2: [5050, 5049, 5051], 3: [5149, 5150, 5249, 5250]}]",8,10,19,0,4,1,4,11,19,0,4
result65,2024-11-06 17:02:42,34.82759690284729,3742,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [3, 4, 8, 9], 3: [1, 7]}","[{0: [5149, 5049, 5048, 4948], 1: [4949, 4849, 4848]}, {3: [5049, 5048], 2: [4948, 4949, 4950, 5050]}]",7,9,18,0,1,1,7,10,18,0,1
result66,2024-11-06 17:03:22,32.49707913398743,534,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [4, 6, 7], 3: [0, 3, 8]}","[{0: [4948, 4848, 4849], 1: [4949, 4950, 5050]}, {2: [4950, 4952, 4951], 3: [4948, 4949, 4848]}]",9,8,18,0,1,1,7,9,18,0,1
result67,2024-11-06 17:03:59,32.7194402217865,2072,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [1, 5, 6], 3: [4, 7, 8]}","[{1: [5049, 5048, 4948], 0: [4950, 4949, 4849]}, {2: [4949, 4948, 4848], 3: [5048, 5148, 5047]}]",7,9,20,0,4,1,5,9,20,0,4
result68,2024-11-06 17:04:34,14.237244844436646,8232,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [6, 7, 8], 3: [0, 3, 8, 9]}","[{1: [5049, 5048, 4948], 2: [4850, 4950, 5050], 0: [4949, 4849, 4848]}, {3: [4950, 5049, 5050, 4949]}]",9,9,21,1,4,1,6,10,21,0,4
result69,2024-11-06 17:04:52,16.341033220291138,5920,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2], 2: [1, 3, 4], 3: [1, 5, 6, 7]}","[{0: [4949, 4950]}, {1: [4950, 4850]}, {2: [4950, 4850, 4750]}, {3: [4950, 4850, 4849, 4750]}]",11,5,17,0,3,1,8,8,17,0,3
result70,2024-11-06 17:05:10,15.983411073684692,5041,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [3, 7, 8, 9], 3: [6, 9, 10]}","[{1: [4951, 5051, 5050], 0: [4950, 4949, 4849, 5049]}, {2: [5049, 4949, 4849, 4948]}, {3: [4949, 4948, 4848]}]",12,9,17,2,6,1,8,11,17,0,6
result71,2024-11-06 17:05:29,17.641063690185547,6692,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [2, 3, 6, 7], 3: [0, 5]}","[{0: [4848, 4948, 4949], 1: [4950, 5050]}, {3: [4848, 4849], 2: [4949, 4950, 4951, 5051]}]",7,8,19,0,2,1,6,8,19,0,2
